Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
AALM11,AURA ALMAS MINERACAO S.A. (*) (**),13/07/2026,"DI + 4,35%",1.9199,1.588,1.7626,0.0632,1.6994,1.8259,529.889003,102.9827,295.86,,
AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%",9.9933,6.5932,9.0033,1.6915,7.3118,10.6949,933.968951,91.3139,380.51,,
AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%",2.983,2.6946,2.8759,0.4585,2.4175,3.3345,1050.26914,104.5107,1130.94,0.5,
AEGP14,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),05/02/2025,"DI + 1,8%",0.6493,0.2341,0.4388,0.2447,0.1941,0.6835,510.929968,100.4927,92,,
AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%",1.5329,1.4,1.4651,0.0799,1.3852,1.545,1066.067711,100.8969,335.05,,
AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%",1.9154,1.7182,1.8016,0.0783,1.7233,1.8799,1060.883066,100.2317,603.86,,
AEGPA1,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),02/09/2029,"DI + 2,45%",2.4384,2.2,2.2693,0.0673,2.202,2.3367,1013.371113,100.5452,776.49,,
AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,2.094,1.8847,1.9781,0.102,1.8761,2.0802,1016.853015,101.3719,344.47,0.35,
AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%",2.4962,2.2826,2.3506,0.0894,2.2612,2.44,1082.367848,102.6647,611.12,0.35,
AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%",2.0477,1.8,1.9186,0.1317,1.7869,2.0505,1017.590643,101.4513,447.12,,
AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%",2.4487,2.1941,2.3191,0.1004,2.2187,2.4196,1044.917969,101.3485,804.28,0.4,
AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%",2.3922,2.1,2.2036,0.0778,2.1258,2.2814,1023.787887,102.0645,708.73,,
AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,15/01/2026,"DI + 2,9%",12.4368,9.2874,12.2064,1.5718,10.6346,13.7783,641.292752,93.7404,185.54,,
AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,31/07/2026,DI + 2%,11.627,8.728,10.9413,2.1381,8.8032,13.0796,915.462702,89.8769,317.49,,
AESB11,AES BRASIL ENERGIA S.A. (*) (**),10/03/2025,"DI + 2,3%",1.4296,1.2615,1.3534,0.0911,1.2622,1.4446,307.521497,100.4177,113,,
AETE11,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA S.A. (*) (**),10/09/2026,"DI + 2,7%",2,1.5,1.75,0,1.75,1.75,657.081218,101.4425,388.74,,
AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%",4.2887,3.7431,3.9677,0.0644,3.9033,4.0322,1012.350047,100.8883,436.64,,
ALGA19,ALGAR TELECOM S/A (*) (**),10/10/2024,"DI + 0,7%",0.5,0.0687,0.2841,0.0368,0.2473,0.3209,1050.828705,100.0197,12,,
ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%",0.6557,0.4674,0.5421,0.0829,0.4592,0.6251,10151.601874,100.3035,215.02,,
ALGAA1,ALGAR TELECOM S/A (*),15/07/2028,"DI + 1,6%",0.9933,0.5195,0.7583,0.2563,0.502,1.0146,1046.740124,102.2671,680.22,,
ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%",1.1283,0.95,1.0156,0.0568,0.9588,1.0726,1039.838721,101.6029,760.48,,
ALGTA3,ALGAR TELECOM S/A (*),17/02/2027,DI + 2%,1.1996,0.9,1.058,0.0425,1.0155,1.1005,1024.285719,101.1786,318.96,,
ALMC12,ALUBAR METAIS E CABOS S.A (*) (**),10/06/2027,"DI + 4,8%",5,4.0585,4.6255,0.1535,4.472,4.7791,785.626092,100.2405,363.37,0.35,
ALSO15,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),15/03/2027,"DI + 1,43%",0.9394,0.5469,0.7564,0.0181,0.7383,0.7746,1011.705579,100.8957,337.75,,
ALSO16,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),04/10/2024,"DI + 1,35%",--,--,0.8895,0.0603,0.8292,0.9498,1019.764844,101.0235,8,,
ALSO25,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),15/03/2029,"DI + 1,55%",1.1177,0.8254,0.9981,0.0762,0.9219,1.0743,1020.240531,101.744,800.53,,
ALSR12,ALSOL ENERGIAS RENOVAVEIS S/A (*) (**),15/03/2025,"DI + 2,35%",1.8,1.3048,1.5487,0.0037,1.545,1.5525,1006.638049,100.3687,118,,
ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",2.2842,1.9898,2.1462,0.0079,2.1383,2.1542,1027.386675,100.2368,396.3,,
ALUP17,ALUPAR INVESTIMENTO S/A (*) (**),15/10/2025,"DI + 1,4%",0.8451,0.4272,0.6251,0.0425,0.5826,0.6677,1056.739401,100.3968,130.32,0.05,
AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%",2.9028,2,2.5176,0.0703,2.4473,2.5881,1053.117697,100.6222,690.81,,
ANHB10,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),21/10/2026,"DI + 1,2%",0.57,0.3,0.4456,0.0468,0.3989,0.4925,380.507057,100.7339,246.72,,
ANHBA2,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),04/11/2026,"DI + 1,3%",0.7428,0.2079,0.4725,0.1029,0.3695,0.5755,1057.745042,101.1766,359.75,,
ANHBA3,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),15/09/2027,"DI + 1,2%",0.75,0.3134,0.5196,0.0416,0.4779,0.5613,1017.440935,101.4731,546.72,,
ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",1.208,0.9309,1.0626,0.0362,1.0264,1.099,1064.506569,102.8566,670.9,0.05,
APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%",1.9622,1.6193,1.8029,0.0272,1.7756,1.8302,1009.616341,100.6704,495.12,,
APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),15/06/2027,"DI + 0,86%",0.8367,0.55,0.6935,0.0276,0.6659,0.7211,704.086952,100.2488,379.22,,
ARML12,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/11/2028,"DI + 2,5%",1.3,1.1,1.2,0,1.2,1.2,1066.333073,102.2752,447,,
ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),04/11/2029,"DI + 2,25%",1.3492,1.05,1.2237,0.0344,1.1893,1.2582,1085.519729,103.4495,850.46,,
ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),15/03/2032,"DI + 1,9%",1.5871,1.25,1.4022,0.0393,1.363,1.4416,1024.832557,102.1936,1119.62,,
ARTRA1,ARTERIS S/A (*) (**),11/03/2027,"DI + 1,65%",1.5492,1.3,1.4013,0.0792,1.3221,1.4806,1007.413211,100.3246,333.58,,
ARTRA4,ARTERIS S/A (*),24/08/2028,"DI + 2,7%",2.1783,1.8747,2.01,0.1067,1.9033,2.1169,1027.119651,101.6399,608.96,0.05,
ARTRA5,ARTERIS S/A (*),12/04/2029,"DI + 2,4%",2.3663,1.9885,2.1509,0.1632,1.9877,2.3143,1064.759033,100.6607,681.89,,
ASAI12,SENDAS DISTRIBUIDORA S/A (*) (**),20/05/2026,"DI + 1,7%",1.1798,0.9437,1.0582,0.0441,1.014,1.1024,1049.133046,100.6602,262.17,,
ASAI14,SENDAS DISTRIBUIDORA S/A (*),26/11/2027,"DI + 1,75%",1.2706,0.9751,1.088,0.0701,1.0178,1.1582,1055.219031,101.4602,560.29,,
ASAI18,SENDAS DISTRIBUIDORA S/A (*),22/12/2027,"DI + 1,85%",--,--,1.3426,0.1518,1.1908,1.4945,1044.872734,101.3241,664.32,,
ASAI19,SENDAS DISTRIBUIDORA S/A (*),25/03/2029,"DI + 1,25%",1.4166,1.2402,1.3049,0.0494,1.2555,1.3544,1055.349711,99.8355,765.01,,
ASAI22,SENDAS DISTRIBUIDORA S/A (*),20/05/2028,"DI + 1,95%",1.3798,1.0839,1.2437,0,1.2437,1.2437,1061.686864,101.7755,638.88,0.1,
ASAI28,SENDAS DISTRIBUIDORA S/A (*),22/12/2028,"DI + 1,95%",1.5158,1.1521,1.3338,0.0183,1.3154,1.3522,1051.93548,101.9828,817.56,,
ASAIA0,SENDAS DISTRIBUIDORA S/A (*),20/06/2029,"DI + 1,25%",1.3909,1.0748,1.2363,0.0194,1.2169,1.2559,1029.623013,100.0441,821.48,,
BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),04/11/2025,"DI + 2,65%",2.1314,1.701,1.9405,0.073,1.8675,2.0136,703.396447,100.3943,143.17,0.35,
BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),07/10/2027,"DI + 1,45%",0.8971,0.6989,0.7838,0.0714,0.7124,0.8552,1067.225141,101.1382,433.55,,
BCPSA3,CLARO S/A,27/01/2026,"DI + 1,35%",--,--,1.0113,0.2423,0.769,1.2537,1022.748224,100.4196,315.23,,
BCPSA4,CLARO S/A,20/02/2027,"DI + 1,2%",1.2705,0.9878,1.1497,0.0318,1.118,1.1816,1012.146929,100.1048,531.16,,
BKBR18,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A,15/10/2024,"DI + 1,35%",--,--,1.8529,0.0625,1.7905,1.9155,1052.01797,99.9705,15,,
BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),24/04/2027,"DI + 1,9%",2.4989,2.05,2.4107,0.3031,2.1076,2.7138,1042.160609,99.1216,444.41,,
BRIT11,BRISANET PARTICIPACOES S.A.,25/08/2027,DI + 2%,1.0642,0.7445,0.9233,0.0643,0.8591,0.9877,1028.281311,101.8129,427.57,,
BRIT12,BRISANET PARTICIPACOES S.A. (*),10/07/2030,"DI + 1,6%",1.4513,1.1797,1.3248,0.1159,1.2089,1.4408,1033.455443,100.9691,897.02,,
BRKMA6,BRASKEM S/A (*),12/05/2029,"DI + 1,75%",2.7074,2.4005,2.4921,0.0953,2.3967,2.5875,1019.348652,97.56,854.35,0.1,
BRKMA8,BRASKEM S/A (*),09/11/2029,"DI + 1,7%",2.7442,2.3744,2.5595,0.2107,2.3488,2.7703,1013.950666,96.9722,917.28,0.1,
BRKMB6,BRASKEM S/A (*),12/05/2032,DI + 2%,2.75,0.8929,1.7115,0.0808,1.6307,1.7924,1058.627039,101.2256,1085.83,,
BRKMB8,BRASKEM S/A (*),09/11/2032,"DI + 1,95%",2.8652,2.4512,2.6798,0.2044,2.4754,2.8843,1013.747004,96.8611,1120.63,,
BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),15/04/2027,"DI + 2,4%",2.5713,2.2676,2.4305,0.0622,2.3683,2.4928,1056.58627,99.9376,528.18,0.45,
BRKPA1,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),06/03/2028,"DI + 3,4%",2.7081,2.4238,2.5539,0.0495,2.5044,2.6036,1029.560784,102.3064,700.38,,
BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),21/02/2029,"DI + 3,25%",2.9894,2.6127,2.8265,0.0805,2.746,2.9072,1026.449949,101.3703,835.49,,
BRMLA0,BR MALLS PARTICIPAÇÕES S/A (*) (**),14/11/2027,"DI + 1,3%",0.9717,0.6041,0.8339,0.0631,0.7708,0.897,1053.284494,101.0214,555.71,,
BSA312,"B3 S/A - BRASIL, BOLSA, BALCÃO (*) (**)",05/05/2025,"DI + 1,05%",--,--,0.7517,0.125,0.6267,0.8768,10466.405893,100.1683,143.33,,
BSA317,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",11/10/2028,"DI + 1,05%",0.6557,0.4203,0.5199,0.0515,0.4684,0.5715,1067.413888,101.4797,704.73,,
BSA318,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",28/05/2029,"DI + 0,62%",0.65,0.4645,0.5523,0.0084,0.544,0.5608,1037.721439,100.1962,733.93,,
BTCL11,BRAZIL TOWER CESSAO DE INFRA-ESTRUTURAS S.A. (*) (**),30/12/2028,"DI + 4,5%",3.55,3.05,3.3,0,3.3,3.3,1065.652202,102.9378,634.48,,
BTEL12,BRASIL TELECOM COMUNICACAO MULTIMIDIA S.A. (*) (**),15/06/2025,"DI + 3,5%",3.728,3.2421,3.4362,0.061,3.3751,3.4973,1038.7479,100.0421,171.81,0.4,
BVPL11,BORRACHAS VIPAL S.A. (*),16/09/2028,"DI + 4,5%",3.5014,3,3.2794,0.0611,3.2183,3.3407,963.902928,102.064,440,,
CAEC11,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*) (**),15/03/2026,"DI + 2,1%",1.5,1.2,1.3501,0.0005,1.3496,1.3507,757.316387,100.6854,233.64,,
CAEC22,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2029,"DI + 2,2%",2.2955,1.6825,2.022,0.0892,1.9328,2.1113,1032.716116,100.5357,772.72,,
CAEC32,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2031,"DI + 2,5%",2.5221,1.9025,2.2739,0.132,2.1419,2.406,1037.128997,100.8995,1023.15,,
CAML19,CAMIL ALIMENTOS S/A,30/09/2025,"DI + 2,7%",1.2594,0.6665,0.9599,0.2419,0.718,1.202,1072.605885,100.8059,118.88,,
CAMLA1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%",1.2564,0.9415,1.0709,0.0525,1.0184,1.1235,1061.97369,101.3411,710.75,,
CAMLB1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%",1.3071,0.9818,1.1148,0.0662,1.0486,1.1811,1060.673927,101.217,710.59,,
CASN12,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*) (**),14/09/2026,"DI + 5,75%",1.65,0.7012,1.185,0.1834,1.0016,1.3685,5838.473542,104.0903,230.71,,
CASN13,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2028,"DI + 5,5%",3.1983,2.4447,2.8249,0.2189,2.606,3.0439,1059.39932,105.5532,533.85,,
CBAN22,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**),15/07/2027,DI + 2%,0.8418,0.5793,0.7362,0.1676,0.5686,0.9039,1044.44262,101.8143,364.55,,
CBRDA8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*) (**),10/05/2026,"DI + 1,7%",5.0043,4.5,4.6913,0.1216,4.5697,4.813,1014.988543,97.1161,253.39,,
CBRDB8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*),10/05/2028,"DI + 1,95%",5.0142,3.7047,4.3232,0.177,4.1462,4.5003,987.929825,94.4387,623.4,,
CCROA7,CCR S/A (*),12/07/2029,"DI + 0,75%",0.7843,0.5989,0.7214,0.036,0.6853,0.7575,1022.243619,100.086,762.71,0.05,
CDAR11,UNIDAS LOCADORA S.A. (*) (**),27/09/2027,DI + 2%,2.5148,2.0164,2.3429,0.1213,2.2216,2.4643,1054.186579,99.3134,516.99,0.35,
CEAB11,C E A MODAS S.A.,20/05/2025,"DI + 2,15%",0.8012,0.3924,0.6051,0.1526,0.4526,0.7578,526.821737,100.9337,153.71,,
CEAB12,C E A MODAS S.A.,13/11/2025,"DI + 2,1%",1.6649,1.3571,1.521,0.0478,1.4732,1.5689,1052.452644,100.598,264.25,,
CEAB13,C E A MODAS S.A. (*),15/07/2027,"DI + 1,8%",1.8805,1.6,1.7431,0.0332,1.71,1.7764,1019.141888,100.1325,596.91,,
CEAB22,C E A MODAS S.A.,13/05/2028,"DI + 2,4%",1.9275,1.6271,1.8086,0.0967,1.7119,1.9054,1058.060912,101.0223,443.42,,
CEEBA3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),15/10/2026,"DI + 1,34%",0.6,0.24,0.4315,0.0311,0.4004,0.4627,1069.203839,101.6082,446.83,,
CEEBA6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),15/08/2028,"DI + 1,95%",1.4438,1.25,1.3416,0.0434,1.2982,1.3851,1032.151849,101.8651,779.07,,
CEEBA7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/11/2028,"DI + 1,18%",0.8365,0.6,0.7193,0.0241,0.6952,0.7434,1056.980814,101.4653,804.28,,
CEEBA8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),10/06/2029,"DI + 0,95%",0.75,0.2926,0.5603,0.103,0.4574,0.6634,1045.741158,101.3823,895.62,,
CEEBB3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/10/2028,"DI + 1,49%",0.85,0.2998,0.5787,0.0731,0.5056,0.6519,1079.743256,102.5412,702.77,,
CEEBB8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),10/06/2031,"DI + 1,1%",0.8357,0.35,0.6504,0.1517,0.4987,0.8023,1051.820123,101.9284,1082.59,,
CEED11,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*) (**),15/08/2026,"DI + 1,45%",0.8998,0.75,0.8022,0.0104,0.7918,0.8128,510.532524,100.826,323.81,,
CEED14,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),11/12/2029,"DI + 1,65%",1.1442,0.8274,0.9819,0.0551,0.9268,1.0371,1057.047033,102.136,809.42,0.1,
CEED16,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),05/08/2030,"DI + 1,05%",1.0677,0.7832,0.9426,0.0672,0.8753,1.0099,1017.975137,100.3906,924.15,,
CELG12,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*) (**),20/01/2026,"DI + 1,5%",1.1893,1,1.0856,0.0189,1.0667,1.1046,504.169623,100.5046,310.06,0.1,
CELP16,CENTRAIS ELETRICAS DO PARA S.A - CELPA (*) (**),15/05/2028,"DI + 1,4%",0.9476,0.7,0.8306,0.0436,0.7871,0.8743,1.055418,101.2341,549.92,,
CEMTE2,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.(*) (**),10/06/2029,"DI + 1,05%",0.65,0.245,0.4498,0.0821,0.3677,0.532,1051.752382,101.7594,739.05,,
CEPEA1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/10/2026,"DI + 1,39%",1.05,0.7157,0.9213,0.1965,0.7248,1.1179,1061.182629,100.8234,446.2,,
CEPEA3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/11/2028,"DI + 1,18%",1.0175,0.7,0.8779,0.0863,0.7916,0.9642,1051.688539,100.9572,803.56,,
