Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.4333,7.1284,7.258,0.0931,7.1649,7.3512,1029.835502,101.2629,2166.8,0.15,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.3415,6.9429,7.1054,0.2285,6.8769,7.3341,1165.350029,99.7422,2072.13,,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",9.4965,9.1433,9.3982,0.1839,9.2143,9.5822,6896.174797,98.3414,197,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.8689,5.3624,5.664,0.1589,5.5051,5.823,695.615534,100.1106,216.52,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.8027,6.3983,6.5674,0.1136,6.4537,6.6811,1044.83051,97.7352,1571.21,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.775,6.3724,6.5529,0.0568,6.4961,6.6098,1008.56588,97.4791,1656.84,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.7414,6.4191,6.5622,0.0647,6.4974,6.627,1003.546154,96.9727,2285.01,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",6.9351,6.6972,6.8145,0.0399,6.7747,6.8545,1025.667435,98.0698,1642.76,,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.282,6.9728,7.1112,0.0732,7.038,7.1845,1189.478264,99.4377,443.3,,15/08/2026
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",6.2516,5.7983,5.9421,0.1792,5.7629,6.1214,704.914461,99.8264,115,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.2321,6.8277,7.0352,0.1187,6.9165,7.154,1101.355807,90.8792,1248.47,,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.3187,6.8905,7.1008,0.0865,7.0143,7.1874,1082.949373,94.1798,1313.39,,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",6.9494,6.6408,6.8271,0.0574,6.7697,6.8846,1021.882051,96.1991,1512.78,,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.2556,6.853,7.0554,0.1,6.9554,7.1555,1018.417228,95.9901,1499.23,,15/08/2032
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",6.8728,6.2456,6.5124,0.2652,6.2472,6.7777,915.810944,93.5457,609.75,,15/05/2027
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,6.6649,6.3594,6.5668,0.193,6.3738,6.7598,904.495803,88.7472,1207.29,,15/08/2030
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",6.7899,6.3942,6.6028,0.1382,6.4645,6.7411,1031.001426,97.6202,1360.58,,15/08/2030
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.6193,7.6501,8.3015,0.174,8.1275,8.4756,808.397825,94.4596,563.58,,15/05/2027
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.7045,8.0219,8.4022,0.2614,8.1408,8.6637,1144.230183,101.9406,942.28,0.05,15/05/2029
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.2702,6.8874,7.0532,0.1337,6.9196,7.187,1070.742741,97.5167,1010,,15/05/2029
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.128,6.5678,6.8328,0.1925,6.6403,7.0253,1253.422438,90.8471,1085.68,,15/05/2029
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",7.3437,6.9919,7.0796,0.0978,6.9818,7.1775,1224.518442,95.1996,585.27,0.05,15/05/2027
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",7.0012,6.5961,6.8018,0.1268,6.675,6.9287,1043.672993,102.2462,804.01,,15/08/2028
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.0953,6.6546,6.9144,0.1203,6.794,7.0348,1141.563303,107.6211,1623.77,,15/08/2032
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.4394,8.06,8.2388,0.0529,8.1859,8.2918,1093.882749,101.3316,2176.65,0.15,15/05/2035
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.6332,7.2544,7.4298,0.1103,7.3195,7.5402,1018.277087,98.0896,1605.54,,15/08/2032
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",6.9493,6.6778,6.7974,0.0559,6.7414,6.8534,1008.318614,96.9849,1641.08,,15/05/2033
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",7.8966,6.9979,7.6711,0.097,7.5742,7.7682,1025.367214,101.0868,2354.12,0.15,15/08/2040
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",6.7523,6.4603,6.6485,0.075,6.5735,6.7236,986.285909,96.7721,997,0.05,15/05/2029
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.2779,6.9437,7.0396,0.1616,6.8779,7.2013,1035.26565,98.4926,2056.47,,15/05/2035
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",6.8716,6.4375,6.5977,0.1359,6.4618,6.7338,1251.927583,101.5608,777.58,0.15,15/08/2028
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",10.0135,8.0572,9.4149,0.5714,8.8435,9.9863,N/D,N/D,N/D,,15/08/2026
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.2231,7.6959,7.963,0.1315,7.8315,8.0945,1119.805023,86.1216,1637.31,,15/05/2033
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.1725,6.812,7.0015,0.2308,6.7707,7.2323,1205.149323,97.8946,461.57,,15/08/2026
