Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
LIGH1B,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*),15/01/2025,"DI + 2,6%",--,--,--,--,--,--,329.3498,49.4,N/D,,
LIGHB4,LIGHT SERVIÇOS DE ELETRICIDADE S/A,15/04/2024,"DI + 1,95%",--,--,--,--,--,--,494,49.4,N/D,,
LIGHB6,LIGHT SERVICOS DE ELETRICIDADE S/A,15/04/2024,"DI + 1,25%",--,--,--,--,--,--,507.5,50.75,N/D,,
LIGHC3,LIGHT SERVICOS DE ELETRICIDADE S/A,15/10/2026,"DI + 1,65%",--,--,--,--,--,--,491.666666,49.1667,N/D,,
LIGHC6,LIGHT SERVICOS DE ELETRICIDADE S/A,15/04/2025,"DI + 1,35%",--,--,--,--,--,--,489,48.9,N/D,,
LIGHD3,LIGHT SERVICOS DE ELETRICIDADE S/A,15/10/2028,"DI + 1,95%",--,--,--,--,--,--,492.5,49.25,N/D,,
LIGHA5,LIGHT SERVICOS DE ELETRICIDADE S/A,15/10/2025,"IPCA + 6,8279%",--,--,--,--,--,--,494,49.4,N/D,,
LIGHA9,LIGHT SERVIÇOS DE ELETRICIDADE S/A,15/07/2025,"IPCA + 5,8%",--,--,--,--,--,--,503.333333,50.3333,N/D,,
LIGHB0,LIGHT SERVIÇOS DE ELETRICIDADE S/A,15/08/2025,"IPCA + 5,0867%",--,--,--,--,--,--,494,49.4,N/D,,
LIGHD2,LIGHT SERVICOS DE ELETRICIDADE S/A,15/04/2031,"IPCA + 4,7543%",--,--,--,--,--,--,487.5,48.75,N/D,,
