Código,Nome,PU,Taxa Indicativa,data,Indexer
CEEBB2,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),10531.99,106.57,27/09/2024,% do DI
CEPE20,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),10563.43,107.66,27/09/2024,% do DI
DASAA1,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),10073.62,129.66,27/09/2024,% do DI
DASAB0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10310.09,129.04,27/09/2024,% do DI
DASAC0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10037.08,130.47,27/09/2024,% do DI
GGBRB6,GERDAU S/A (*) (**),1043.56,107.75,27/09/2024,% do DI
HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**),1028.26,108.27,27/09/2024,% do DI
KLBNA2,KLABIN S/A,10347.9,105.09,27/09/2024,% do DI
LORTA5,LOCALIZA RENT A CAR (*) (**),1051.32,106.73,27/09/2024,% do DI
LORTB3,LOCALIZA RENT A CAR (*) (**),5158.69,114.1,27/09/2024,% do DI
LORTD4,LOCALIZA RENT A CAR (*),7546.77,110.56,27/09/2024,% do DI
MULP17,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),10493.36,103.62,27/09/2024,% do DI
PETR36,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),1024.17,104.73,27/09/2024,% do DI
RADL14,RAIA DROGASIL S/A (*) (**),1041.14,102.87,27/09/2024,% do DI
SAPR29,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),10192.58,115.06,27/09/2024,% do DI
TAEE16,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A (*) (**),1050.58,102.92,27/09/2024,% do DI
TFLE15,LOCALIZA FLEET S.A. (*) (**),1020.31,114.76,27/09/2024,% do DI
UNDAC2,UNIDAS S/A (*) (**),1048.84,113.54,27/09/2024,% do DI
UNDAC3,UNIDAS S/A (*),1040.9,115.66,27/09/2024,% do DI
AALM11,AURA ALMAS MINERACAO S.A. (*) (**),530.39,1.8,27/09/2024,DI +
AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),934.48,9.13,27/09/2024,DI +
AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),1052.93,2.85,27/09/2024,DI +
AEGP14,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),511.52,0.47,27/09/2024,DI +
AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),1067.59,1.46,27/09/2024,DI +
AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),1062.31,1.8,27/09/2024,DI +
AEGPA1,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),1015.0,2.26,27/09/2024,DI +
AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),1017.78,2.02,27/09/2024,DI +
AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),1083.39,2.37,27/09/2024,DI +
AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),1018.48,1.95,27/09/2024,DI +
AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),1046.62,2.31,27/09/2024,DI +
AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),1025.2,2.21,27/09/2024,DI +
AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,642.67,12.27,27/09/2024,DI +
AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,896.75,13.02,27/09/2024,DI +
AESB11,AES BRASIL ENERGIA S.A. (*) (**),307.79,1.47,27/09/2024,DI +
AETE11,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA S.A. (*) (**),658.0,1.75,27/09/2024,DI +
AGAU13,AGASUS S.A. (*),1013.34,4.01,27/09/2024,DI +
ALGA19,ALGAR TELECOM S/A (*) (**),1052.13,0.29,27/09/2024,DI +
ALGA28,ALGAR TELECOM S/A,10165.21,0.53,27/09/2024,DI +
ALGAA1,ALGAR TELECOM S/A (*),1046.81,0.8,27/09/2024,DI +
ALGAA2,ALGAR TELECOM S/A (*),1041.89,0.99,27/09/2024,DI +
ALGTA3,ALGAR TELECOM S/A (*),1025.82,1.04,27/09/2024,DI +
ALMC12,ALUBAR METAIS E CABOS S.A (*) (**),787.67,4.56,27/09/2024,DI +
ALPA12,ALPARGATAS S.A. (*),1041.1,1.12,27/09/2024,DI +
ALSO15,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),1012.95,0.76,27/09/2024,DI +
ALSO16,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),1021.1,0.89,27/09/2024,DI +
ALSO25,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),1021.49,1.0,27/09/2024,DI +
ALSR12,ALSOL ENERGIAS RENOVAVEIS S/A (*) (**),1008.03,1.55,27/09/2024,DI +
ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),1030.71,2.03,27/09/2024,DI +
ALUP17,ALUPAR INVESTIMENTO S/A (*) (**),1058.05,0.63,27/09/2024,DI +
AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),1055.53,2.49,27/09/2024,DI +
ANHB10,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),380.97,0.45,27/09/2024,DI +
ANHBA2,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),1058.71,0.5,27/09/2024,DI +
ANHBA3,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),1017.61,0.57,27/09/2024,DI +
ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),1065.02,1.09,27/09/2024,DI +
APPSB2,AUTOPISTA PLANALTO SUL S/A (*),1010.66,1.82,27/09/2024,DI +
APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),705.05,0.69,27/09/2024,DI +
ARML12,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),1067.74,1.2,27/09/2024,DI +
ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),1087.91,1.2,27/09/2024,DI +
ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),1026.77,1.39,27/09/2024,DI +
ARTRA1,ARTERIS S/A (*) (**),1008.74,1.41,27/09/2024,DI +
ARTRA4,ARTERIS S/A (*),1027.79,2.04,27/09/2024,DI +
ARTRA5,ARTERIS S/A (*),1067.36,2.11,27/09/2024,DI +
ASAI12,SENDAS DISTRIBUIDORA S/A (*) (**),1050.6,1.08,27/09/2024,DI +
ASAI14,SENDAS DISTRIBUIDORA S/A (*),1056.52,1.09,27/09/2024,DI +
ASAI18,SENDAS DISTRIBUIDORA S/A (*),1045.55,1.37,27/09/2024,DI +
ASAI19,SENDAS DISTRIBUIDORA S/A (*),998.84,1.32,27/09/2024,DI +
ASAI22,SENDAS DISTRIBUIDORA S/A (*),1063.18,1.24,27/09/2024,DI +
ASAI28,SENDAS DISTRIBUIDORA S/A (*),1052.23,1.37,27/09/2024,DI +
ASAIA0,SENDAS DISTRIBUIDORA S/A (*),1030.23,1.26,27/09/2024,DI +
BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),704.33,1.96,27/09/2024,DI +
BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),1068.48,0.79,27/09/2024,DI +
BCPSA3,CLARO S/A,1024.02,1.02,27/09/2024,DI +
BCPSA4,CLARO S/A,1013.49,1.15,27/09/2024,DI +
BKBR18,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A,1053.51,1.86,27/09/2024,DI +
BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),1046.88,2.23,27/09/2024,DI +
BRIT11,BRISANET PARTICIPACOES S.A.,1029.29,0.94,27/09/2024,DI +
BRIT12,BRISANET PARTICIPACOES S.A. (*),1035.5,1.31,27/09/2024,DI +
BRKMA6,BRASKEM S/A (*),1020.53,2.5,27/09/2024,DI +
BRKMA8,BRASKEM S/A (*),1018.05,2.49,27/09/2024,DI +
BRKMB6,BRASKEM S/A (*),1054.08,1.85,27/09/2024,DI +
BRKMB8,BRASKEM S/A (*),1015.11,2.69,27/09/2024,DI +
BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),1058.23,2.43,27/09/2024,DI +
BRKPA1,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),1031.17,2.55,27/09/2024,DI +
BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),1028.06,2.82,27/09/2024,DI +
BRKPA3,BRK AMBIENTAL PARTICIPACOES S/A (*),1014.61,2.85,27/09/2024,DI +
BRMLA0,BR MALLS PARTICIPAÇÕES S/A (*) (**),1059.26,0.63,27/09/2024,DI +
BRMLA1,BR MALLS PARTICIPAÇÕES S/A (*),1005.89,0.71,27/09/2024,DI +
BRMLB1,BR MALLS PARTICIPAÇÕES S/A (*),1013.34,0.88,27/09/2024,DI +
BSA312,"B3 S/A - BRASIL, BOLSA, BALCÃO (*) (**)",10480.07,0.75,27/09/2024,DI +
BSA317,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",1069.19,0.5,27/09/2024,DI +
BSA318,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",1038.96,0.55,27/09/2024,DI +
BTCL11,BRAZIL TOWER CESSAO DE INFRA-ESTRUTURAS S.A. (*) (**),1067.28,3.3,27/09/2024,DI +
BTEL12,BRASIL TELECOM COMUNICACAO MULTIMIDIA S.A. (*) (**),1040.26,3.46,27/09/2024,DI +
BVPL11,BORRACHAS VIPAL S.A. (*),965.44,3.28,27/09/2024,DI +
CAEC11,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*) (**),758.5,1.33,27/09/2024,DI +
CAEC22,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),1037.6,1.91,27/09/2024,DI +
CAEC32,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),1044.39,2.13,27/09/2024,DI +
CAML19,CAMIL ALIMENTOS S/A,1075.28,0.7,27/09/2024,DI +
CAMLA1,CAMIL ALIMENTOS S/A,1063.79,1.06,27/09/2024,DI +
CAMLB1,CAMIL ALIMENTOS S/A,1061.06,1.15,27/09/2024,DI +
CASN12,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*) (**),5844.32,1.22,27/09/2024,DI +
CASN13,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),1061.8,2.79,27/09/2024,DI +
CBAN22,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**),1045.31,0.77,27/09/2024,DI +
CBRDA8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*) (**),1016.74,4.7,27/09/2024,DI +
CBRDB8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*),989.92,4.31,27/09/2024,DI +
CCROA7,CCR S/A (*),1023.56,0.72,27/09/2024,DI +
CDAR11,UNIDAS LOCADORA S.A. (*) (**),992.71,2.34,27/09/2024,DI +
CEAB11,C E A MODAS S.A.,527.47,0.61,27/09/2024,DI +
CEAB12,C E A MODAS S.A.,1053.76,1.53,27/09/2024,DI +
CEAB13,C E A MODAS S.A. (*),1020.45,1.75,27/09/2024,DI +
CEAB22,C E A MODAS S.A.,1059.17,1.83,27/09/2024,DI +
