Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B,sheet_name,data
CEEBB2,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),24/04/2026,"110,25% do DI",109.1515,104.3533,106.5734,0.6805,105.8929,107.254,10531.989799,100.4068,243.28,,,DI_PERCENTUAL,20240927
CEPE20,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/04/2026,111% do DI,110.8101,105.0,107.6643,0.545,107.1192,108.2094,10563.427934,100.3601,237.51,,,DI_PERCENTUAL,20240927
DASAA1,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),10/06/2026,"108,5% do DI",134.5107,124.9914,129.6633,4.9851,124.6783,134.6485,10073.619623,97.3968,272.72,,,DI_PERCENTUAL,20240927
DASAB0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2024,"110,5% do DI",132.9889,125.0,129.0398,4.0566,124.9831,133.0965,10310.09171,99.6212,50.0,,,DI_PERCENTUAL,20240927
DASAC0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2026,"112,5% do DI",135.7223,125.0662,130.4741,1.6539,128.8202,132.1282,10037.082192,96.9231,378.02,,,DI_PERCENTUAL,20240927
GGBRB6,GERDAU S/A (*) (**),06/05/2026,"107,25% do DI",110.2989,103.3544,107.7471,1.0357,106.7113,108.7829,1043.556069,99.9176,359.56,,,DI_PERCENTUAL,20240927
HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**),10/07/2026,"110,55% do DI",110.9136,105.7,108.2711,1.1874,107.0837,109.4586,1028.264477,100.3078,295.4,,,DI_PERCENTUAL,20240927
KLBNA2,KLABIN S/A,19/03/2029,"114,65% do DI",107.8758,103.7455,105.0882,0.8946,104.1936,105.9829,10347.898867,103.1935,715.02,0.05,,DI_PERCENTUAL,20240927
LORTA5,LOCALIZA RENT A CAR (*) (**),15/04/2026,"107,25% do DI",110.1748,103.3137,106.73,1.9041,104.8259,108.6341,1051.323651,100.0562,238.05,,,DI_PERCENTUAL,20240927
LORTB3,LOCALIZA RENT A CAR (*) (**),15/02/2025,"111,3% do DI",117.6611,108.4187,114.1014,1.272,112.8293,115.3735,5158.692324,99.8849,97.0,,,DI_PERCENTUAL,20240927
LORTD4,LOCALIZA RENT A CAR (*),18/09/2026,"112,32% do DI",113.8677,108.0216,110.5588,0.2676,110.2912,110.8266,7546.76555,100.3073,379.31,,,DI_PERCENTUAL,20240927
MULP17,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),25/04/2026,106% do DI,106.3957,101.8571,103.6166,2.5806,101.036,106.1974,10493.361022,100.2655,245.03,,,DI_PERCENTUAL,20240927
PETR36,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2026,"106,25% do DI",107.2591,100.9342,104.7291,0.8312,103.8979,105.5604,1024.170382,100.13,189.71,,,DI_PERCENTUAL,20240927
RADL14,RAIA DROGASIL S/A (*) (**),17/06/2027,"106,99% do DI",104.7641,101.74,102.868,0.9872,101.8808,103.8553,1041.143119,100.9219,483.72,,,DI_PERCENTUAL,20240927
SAPR29,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),11/06/2026,"107,25% do DI",119.8,109.3584,115.06,0.9059,114.1541,115.966,10192.578819,98.6268,383.63,,,DI_PERCENTUAL,20240927
TAEE16,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A (*) (**),15/05/2026,108% do DI,105.113,101.02,102.9194,2.7555,100.1639,105.6751,1050.580482,100.8615,366.4,,,DI_PERCENTUAL,20240927
